Id,ActivityDate,TotalSteps,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,SedentaryHours,SleepDate,TotalMinutesAsleep,TotalHoursAsleep,TotalTimeInBed,TotalHoursInBed,PAMinutes,Weekday,UserType_DaysReported,UserType_Steps,UserType_PA
2873212765,2016-04-12,8796,1982,2,21,356,1061,17.7,,,,,,23,(2) Tuesday,consistent_user,moderately_active,physically_active
2873212765,2016-04-13,7618,2004,0,8,404,1028,17.1,,,,,,8,(3) Wednesday,consistent_user,moderately_active,physically_active
2873212765,2016-04-14,7910,1893,0,0,331,1109,18.5,,,,,,0,(4) Thursday,consistent_user,moderately_active,physically_active
2873212765,2016-04-15,8482,2063,0,0,448,992,16.5,,,,,,0,(5) Friday,consistent_user,moderately_active,physically_active
2873212765,2016-04-16,9685,2148,47,1,305,1087,18.1,,,,,,48,(6) Saturday,consistent_user,moderately_active,physically_active
2873212765,2016-04-17,2524,1529,0,8,160,1272,21.2,,,,,,8,(7) Sunday,consistent_user,moderately_active,physically_active
2873212765,2016-04-18,7762,1890,1,6,311,1122,18.7,,,,,,7,(1) Monday,consistent_user,moderately_active,physically_active
2873212765,2016-04-19,7948,1956,0,0,389,1051,17.5,,,,,,0,(2) Tuesday,consistent_user,moderately_active,physically_active
2873212765,2016-04-20,9202,2094,22,5,378,1035,17.3,,,,,,27,(3) Wednesday,consistent_user,moderately_active,physically_active
2873212765,2016-04-21,8859,1970,2,10,371,1057,17.6,,,,,,12,(4) Thursday,consistent_user,moderately_active,physically_active
2873212765,2016-04-22,7286,2241,46,0,366,1028,17.1,,,,,,46,(5) Friday,consistent_user,moderately_active,physically_active
2873212765,2016-04-23,9317,2021,28,5,330,1077,17.9,,,,,,33,(6) Saturday,consistent_user,moderately_active,physically_active
2873212765,2016-04-24,6873,1898,46,1,190,1203,20.1,,,,,,47,(7) Sunday,consistent_user,moderately_active,physically_active
2873212765,2016-04-25,7373,1907,0,0,359,1081,18.0,,,,,,0,(1) Monday,consistent_user,moderately_active,physically_active
2873212765,2016-04-26,8242,1882,2,5,309,1124,18.7,,,,,,7,(2) Tuesday,consistent_user,moderately_active,physically_active
2873212765,2016-04-27,3516,1966,46,0,197,1197,19.9,,,,,,46,(3) Wednesday,consistent_user,moderately_active,physically_active
2873212765,2016-04-28,7913,1835,28,7,213,1192,19.9,,,,,,35,(4) Thursday,consistent_user,moderately_active,physically_active
2873212765,2016-04-29,7365,1780,20,23,206,1191,19.9,,,,,,43,(5) Friday,consistent_user,moderately_active,physically_active
2873212765,2016-04-30,8452,1830,5,20,248,1167,19.4,,,,,,25,(6) Saturday,consistent_user,moderately_active,physically_active
2873212765,2016-05-01,7399,1739,7,18,196,1219,20.3,,,,,,25,(7) Sunday,consistent_user,moderately_active,physically_active
2873212765,2016-05-02,7525,1878,0,7,334,1099,18.3,,,,,,7,(1) Monday,consistent_user,moderately_active,physically_active
2873212765,2016-05-03,7412,1906,1,6,363,1070,17.8,,,,,,7,(2) Tuesday,consistent_user,moderately_active,physically_active
2873212765,2016-05-04,8278,2015,0,0,420,1020,17.0,,,,,,0,(3) Wednesday,consistent_user,moderately_active,physically_active
2873212765,2016-05-05,8314,1971,13,23,311,1093,18.2,,,,,,36,(4) Thursday,consistent_user,moderately_active,physically_active
2873212765,2016-05-06,7063,1910,0,5,370,1065,17.8,,,,,,5,(5) Friday,consistent_user,moderately_active,physically_active
2873212765,2016-05-07,4940,1897,75,11,52,1302,21.7,,,,,,86,(6) Saturday,consistent_user,moderately_active,physically_active
2873212765,2016-05-08,8168,2096,46,0,326,1068,17.8,,,,,,46,(7) Sunday,consistent_user,moderately_active,physically_active
2873212765,2016-05-09,7726,1906,0,0,345,1095,18.3,,,,,,0,(1) Monday,consistent_user,moderately_active,physically_active
